15
14
() 0123456789-
0 ( 1
1 0 2
2 8 3
3 7 4
3 6 4
3 5 4
4 ) 5
5 - 6
6 8 7
6 7 7
7 0 8
7 1 8
7 2 8
7 3 8
7 4 8
7 5 8
7 6 8
7 7 8
7 8 8
7 9 8
8 0 9
8 1 9
8 2 9
8 3 9
8 4 9
8 5 9
8 6 9
8 7 9
8 9 9
9  10
10 0 11
10 1 11
10 2 11
10 3 11
10 4 11
10 5 11
10 6 11
10 7 11
10 8 11
10 9 11
11 0 12
11 1 12
11 2 12
11 3 12
11 4 12
11 5 12
11 6 12
11 7 12
11 8 12
11 9 12
12 0 13
12 1 13
12 2 13
12 3 13
12 4 13
12 5 13
12 6 13
12 7 13
12 8 13
12 9 13
13 0 14
13 1 14
13 2 14
13 3 14
13 4 14
13 5 14
13 6 14
13 7 14
13 8 14
13 9 14
